match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds
1978959,2021-09-11-22-35,"Karlsruhe, semifinal, clay",wta,semifinal,clay,1,1.57,-1.0,Martina Trevisan,Italy,160,,27,106,83,12,21,10,9,258,147,212,96,-12.17,2,1542,2.42,Maryna Zanevska,Belgium,175,59,28,113,105,39,14,26,6,445,250,221,119,4.91,2,1624,1.64
1978925,2021-09-12-06-00,"US Open, final, hard",wta,final,hard,1,1.56,-1.0,Emma Raducanu,Great Britain,175,,18,150,150,22,6,17,3,90,26,53,10,13.46,0,1687,1.58,Annie Fernandez Leylah,Canada,158,48,19,73,66,21,15,17,8,109,67,68,35,7.58,0,1756,2.53
1979565,2021-09-14-21-40,Luxembourg WTA,wta,1. round,indoors,1,1.51,-1.0,Arianne Hartono,Netherlands,168,,25,300,300,35,21,6,4,126,82,24,16,-1.79,0,,2.35,Anna-Lena Friedsam,Germany,174,68,27,126,45,18,19,2,2,303,182,89,41,-7.75,0,,1.66
1979794,2021-09-14-22-55,Portoroz WTA,wta,1. round,hard,1,1.34,0.85,Viktoria Kuzmova,Slovakia,180,61,23,149,43,13,15,7,6,276,151,144,61,-4.94,1,1570,1.85,Tereza Mrdeza,Croatia,173,65,30,225,150,30,23,7,6,447,299,96,77,-0.64,1,1405,2.04
1979386,2021-09-15-00-15,Portoroz WTA,wta,1. round,hard,2,1.49,-1.0,Sara Errani,Italy,164,58,34,110,5,16,20,6,9,611,429,215,168,3.83,0,1636,3.17,Anhelina Kalinina,Ukraine,179,70,24,64,64,37,11,4,5,283,142,68,49,5.98,0,1653,1.4
1979385,2021-09-15-00-10,Portoroz WTA,wta,1. round,hard,2,1.11,-1.0,Petra Martic,Croatia,181,63,30,42,14,14,18,6,10,387,272,140,117,-7.61,1,1769,1.68,Kaja Juvan,Slovenia,170,58,20,103,91,16,15,12,6,153,72,39,22,-3.36,0,1648,2.3
1979392,2021-09-14-21-25,Portoroz WTA,wta,1. round,hard,1,1.58,-1.0,Tereza Martincova,Czech Republic,179,64,26,61,60,33,21,16,8,396,297,104,77,-2.76,1,1772,1.58,Kristina Kucova,Slovakia,163,59,31,119,71,29,21,9,9,444,332,121,108,0.14,1,1593,2.52
1979566,2021-09-14-20-10,Luxembourg WTA,wta,1. round,indoors,2,1.45,-1.0,Lesya Tsurenko,Ukraine,174,67,32,165,23,16,11,2,0,430,289,78,39,-4.05,2,,2.23,Aliaksandra Sasnovich,Belarus,174,60,27,111,30,19,17,2,2,341,220,95,40,1.17,1,,1.72
1979391,2021-09-14-21-05,Portoroz WTA,wta,1. round,hard,2,1.09,-1.0,Danka Kovinic,Montenegro,169,67,26,63,46,12,15,2,8,354,256,100,107,3.54,1,1632,2.67,Anna Kalinskaya,Russia,175,68,22,145,96,17,18,11,9,194,118,92,43,-6.16,0,1645,1.53
1979395,2021-09-14-22-40,Portoroz WTA,wta,1. round,hard,2,1.51,0.44,Adina Cristian Jaqueline,Romania,180,,23,127,127,25,20,2,3,228,157,78,49,4.11,0,1525,2.98,Yulia Putintseva,Kazakhstan,163,59,26,44,27,21,19,9,10,335,257,150,135,-2.21,0,1822,1.44
