match_id,time_stamp,title,predict,winner,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds
1973879,2021-08-26-02-40,"US Open, Qualification - 1. round, hard",1.66,1,-1.0,Emilio Gomez,Ecuador,185,81,29,161,143,30,23,19,11,351,257,160,99,2.31,0,1550,1.64,Marc-Andrea Huesler,Switzerland,196,88,25,170,142,17,24,3,5,191,161,62,46,-12.83,1,-,2.28
1973865,2021-08-26-01-05,"US Open, Qualification - 1. round, hard",1.16,2,-1.0,Elahi Galan Daniel,Colombia,191,72,25,111,103,25,22,6,6,278,217,79,68,1.06,2,-,1.55,Christopher Eubanks,USA,201,82,25,216,147,16,15,10,8,129,112,98,77,-4.73,0,1516,2.49
1973878,2021-08-26-02-40,"US Open, Qualification - 1. round, hard",1.05,1,1.94,Ben Shelton,USA,-,-,19,801,801,12,4,9,3,12,4,9,3,9.66,0,-,2.94,Michael Mmoh,USA,188,90,23,181,96,8,10,6,6,205,142,127,84,-5.71,0,1606,1.41
1973880,2021-08-26-02-30,"US Open, Qualification - 1. round, hard",1.14,1,1.14,Enzo Couacaud,France,183,78,26,190,164,17,19,0,1,262,164,145,57,1.49,1,1513,2.14,Martin Etcheverry Tomas,Argentina,196,82,22,142,140,50,21,0,1,210,104,20,13,7.24,0,-,1.72
1973888,2021-08-26-02-30,"US Open, Qualification - 1. round, hard",1.6,1,-1.0,Ernests Gulbis,Latvia,191,85,32,195,10,11,17,0,1,468,376,128,121,-4.41,0,1536,2.24,Marc Polmans,Australia,188,78,24,148,116,18,22,5,4,269,205,158,115,-10.57,1,1477,1.66
1973895,2021-08-26-02-30,"US Open, Qualification - 1. round, hard",1.67,1,-1.0,Mitchell Krueger,USA,188,82,27,175,159,20,16,13,8,341,291,215,177,-2.72,0,1548,1.37,Steven Diez,Canada,175,76,30,199,134,16,22,3,3,564,391,183,123,-6.85,0,1476,3.16
1973838,2021-08-26-04-00,"US Open, Qualification - 1. round, hard",1.81,2,0.07,Irene Burillo Escorihuela,Spain,-,-,24,241,227,25,20,10,4,245,182,42,34,2.32,0,1344,8.98,Beatriz Haddad Maia,Brazil,185,78,25,174,58,45,14,22,6,329,166,141,59,-3.93,1,1652,1.07
1973837,2021-08-26-04-00,"US Open, Qualification - 1. round, hard",1.6,1,-1.0,Viktoriya Tomova,Bulgaria,170,58,26,117,104,17,24,2,4,400,265,107,63,-13.42,0,1491,2.24,Grace Min,USA,163,64,27,165,97,18,14,9,5,343,249,169,143,1.57,0,1497,1.66
1973795,2021-08-26-02-45,"US Open, Qualification - 1. round, hard",1.31,2,-1.0,Robin Montgomery,USA,-,-,17,354,349,7,7,7,6,24,16,20,11,-3.86,0,1324,1.7,Anna Burrage Jodie,Great Britain,-,-,22,235,232,16,15,16,8,175,107,118,61,-5.23,0,-,2.18
1973834,2021-08-26-03-55,"US Open, Qualification - 1. round, hard",1.44,2,-1.0,Gabriela Talaba,Romania,-,-,26,217,205,10,14,4,4,215,151,42,33,-5.71,1,1374,2.34,Robin Anderson,USA,-,-,28,224,159,14,13,13,8,201,139,129,77,-1.66,0,1459,1.61
1973828,2021-08-26-04-00,"US Open, Qualification - 1. round, hard",1.0,2,-1.0,Natalia Vikhlyantseva,Russia,185,70,24,173,54,5,10,0,2,207,146,57,51,-3.52,3,1538,2.75,Anna Kalinskaya,Russia,175,68,22,137,96,14,16,8,7,191,116,89,41,-4.82,0,1645,1.46
1973796,2021-08-26-02-30,"US Open, Qualification - 1. round, hard",1.55,2,0.4099999999999999,Whitney Osuigwe,USA,-,-,19,239,105,4,18,3,6,88,79,39,44,-13.96,0,1291,2.96,Stefanie Voegele,Switzerland,170,60,31,128,42,14,17,0,1,504,412,186,162,-8.13,0,1552,1.41
1973836,2021-08-26-02-30,"US Open, Qualification - 1. round, hard",1.35,2,-1.0,Lizette Cabrera,Australia,168,55,23,159,119,4,13,2,8,192,175,140,117,-9.96,0,1427,3.08,Kamilla Rakhimova,Russia,-,-,19,133,128,20,16,5,5,110,57,38,18,-1.02,0,1543,1.38
1973794,2021-08-26-02-30,"US Open, Qualification - 1. round, hard",1.62,1,-1.0,Julia Grabher,Austria,170,60,25,198,186,26,19,1,2,285,173,14,11,1.98,2,1362,2.31,Barbara Haas,Austria,165,56,25,171,133,18,15,1,2,357,195,127,59,-4.47,5,1519,1.63
1973807,2021-08-26-01-10,"US Open, Qualification - 1. round, hard",1.22,1,0.69,Mariam Bolkvadze,Georgia,-,-,23,167,152,23,17,21,9,237,147,150,80,-0.56,1,1606,1.69,Daria Snigur,Ukraine,-,-,19,207,195,18,10,8,5,78,32,56,15,1.54,1,1411,2.19
1973824,2021-08-26-01-10,"US Open, Qualification - 1. round, hard",1.55,2,0.1799999999999999,Marie Benoit,Belgium,-,-,26,251,228,13,20,2,2,347,236,65,36,-11.94,0,1308,4.96,Vitalia Diatchenko,Russia,180,63,31,139,71,9,9,3,3,346,185,112,70,-0.05,0,1600,1.18
1973793,2021-08-26-02-30,"US Open, Qualification - 1. round, hard",1.48,1,0.05,Ana Konjuh,Croatia,174,65,23,87,20,34,18,12,6,204,124,67,49,5.52,0,1793,1.05,Irina Fetecau,Romania,-,-,25,252,237,24,16,9,4,253,161,26,16,3.92,0,1265,10.07
1973821,2021-08-26-01-15,"US Open, Qualification - 1. round, hard",1.65,1,-1.0,Kristina Kucova,Slovakia,163,59,31,111,71,26,19,6,7,441,330,118,106,-0.44,1,1593,1.16,Daniela Seguel,Chile,-,-,28,227,162,9,16,1,1,363,244,23,23,-5.69,0,1374,5.41
1973806,2021-08-26-01-05,"US Open, Qualification - 1. round, hard",1.36,2,-1.0,Jessika Ponchet,France,-,-,24,240,169,12,7,9,4,236,173,97,63,-0.68,0,1420,2.39,Yuliya Hatouka,Belarus,-,-,21,249,239,31,11,10,4,153,74,87,40,-1.1,0,-,1.59
1973822,2021-08-26-01-05,"US Open, Qualification - 1. round, hard",1.48,2,-1.0,Isabella Shinikova,Bulgaria,184,56,29,226,133,11,17,3,5,519,327,119,51,-3.97,0,1429,2.39,Hanna Chang,USA,-,-,23,270,265,26,16,10,8,238,139,167,103,1.07,0,1372,1.59
1973823,2021-08-26-01-05,"US Open, Qualification - 1. round, hard",1.3,2,-1.0,Gabriella Price,USA,-,-,18,712,712,11,14,6,7,26,30,18,17,0.46,0,-,8.29,Katie Boulter,Great Britain,182,68,25,190,82,15,9,6,6,221,143,144,89,3.94,0,1756,1.08
1973808,2021-08-26-01-10,"US Open, Qualification - 1. round, hard",1.53,2,0.07,Bibiane Schoofs,Netherlands,-,-,33,283,142,2,3,2,3,426,253,59,46,-2.01,0,-,8.93,Emma Raducanu,Great Britain,-,-,18,150,150,13,6,8,3,81,26,44,10,7.76,0,1564,1.07
1973924,2021-08-26-02-05,"Chicago 2 WTA, round of 16, hard",1.39,1,0.4499999999999999,Marketa Vondrousova,Czech Republic,172,59,22,40,14,20,14,15,7,196,84,62,34,3.37,1,1869,1.45,Alison Van Uytvanck,Belgium,173,63,27,58,37,14,13,7,5,345,234,91,85,-3.52,1,1750,2.99
1973942,2021-08-26-01-30,"Cleveland WTA, round of 16, hard",1.48,1,0.04,Katerina Siniakova,Czech Republic,174,69,25,53,31,20,14,6,7,304,209,96,84,5.12,0,1811,1.04,Nagi Hanatani,Japan,-,-,26,402,356,9,19,2,4,189,212,130,142,3.08,0,-,16.7
1973935,2021-08-26-02-05,"Chicago 2 WTA, round of 16, hard",1.79,1,-1.0,Tereza Martincova,Czech Republic,179,64,26,60,60,32,19,15,6,395,295,103,75,-1.71,0,1749,1.97,Su-Wei Hsieh,Taipei (CHN),169,57,35,81,23,11,12,10,5,497,342,342,212,2.53,0,1758,1.93
1973886,2021-08-26-04-00,"US Open, Qualification - 1. round, hard",1.16,1,0.1899999999999999,Quentin Halys,France,191,78,24,184,102,22,18,7,4,279,232,98,68,1.96,0,1538,1.19,Samir Banerjee,USA,-,-,18,-,-,0,1,0,1,0,2,0,1,0.0,0,-,4.83
1973877,2021-08-26-02-30,"US Open, Qualification - 1. round, hard",1.22,1,0.4099999999999999,De Van,Netherlands,188,83,25,118,118,38,19,8,3,259,134,19,10,1.91,0,-,1.41,Vera Barrios,Chile,191,88,23,172,171,32,20,3,4,245,133,65,35,7.25,0,-,2.96
1973866,2021-08-26-01-10,"US Open, Qualification - 1. round, hard",1.94,2,0.8200000000000001,Brayden Schnur,Canada,193,84,26,232,92,18,22,5,8,236,182,129,108,7.05,0,1512,2.01,Prajnesh Gunneswaran,India,188,80,31,156,75,13,20,7,9,308,194,189,104,-10.02,3,1495,1.82
1973859,2021-08-26-04-00,"US Open, Qualification - 1. round, hard",1.78,1,-1.0,Marco Trungelliti,Argentina,178,78,31,198,112,20,14,0,1,493,333,64,52,11.16,0,1545,1.95,Blaz Kavcic,Slovenia,188,78,34,221,68,20,13,1,1,605,389,248,127,0.89,0,1528,1.87
1973887,2021-08-26-02-45,"US Open, Qualification - 1. round, hard",1.27,1,1.15,Filip Horansky,Slovakia,191,77,28,194,161,18,23,0,1,437,297,64,47,0.56,0,1499,2.15,Mikael Torpegaard,Denmark,193,84,27,218,166,7,15,4,8,147,97,43,40,-8.79,0,1444,1.72
1973868,2021-08-26-01-10,"US Open, Qualification - 1. round, hard",1.49,1,0.48,Christian Harrison,USA,180,77,27,280,198,24,10,14,7,194,130,101,70,4.02,1,1504,1.48,Ignacio Londero Juan,Argentina,180,70,28,153,50,6,19,0,2,388,308,40,48,-9.66,1,-,2.69
1973894,2021-08-26-01-15,"US Open, Qualification - 1. round, hard",1.41,1,0.4199999999999999,Mats Moraing,Germany,198,84,29,239,148,24,18,0,1,363,231,86,50,-2.05,0,1499,1.42,Rodrigues Meligeni,Brazil,185,78,23,201,201,22,20,1,1,199,121,21,16,-2.71,0,-,2.91
1973893,2021-08-26-01-10,"US Open, Qualification - 1. round, hard",1.81,1,-1.0,Christopher O'Connell,Australia,183,78,27,126,111,16,12,9,6,282,166,116,81,4.99,0,1683,1.21,Altug Celikbilek,Turkey,185,72,24,174,171,34,14,19,5,293,204,219,141,13.27,0,1646,4.52
1973896,2021-08-26-02-25,"US Open, Qualification - 1. round, hard",1.67,2,0.29,Lukas Lacko,Slovakia,188,87,33,197,44,8,18,1,5,586,451,241,172,-6.25,0,1483,3.65,Holger Rune,Denmark,185,68,18,145,145,52,17,8,2,97,44,9,9,9.85,0,1696,1.29
