match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds
1995979,2021-11-01-19-15,Paris - Masters,atp,1. round,indoors,1,1.41,0.69,Marton Fucsovics,Hungary,188,82,29,40,31,26,21,8,4,420,300,115,85,0.59,1,-,1.69,Fabio Fognini,Italy,178,79,34,37,9,22,23,0,1,611,460,39,51,-3.5,3,-,2.31
1996304,2021-11-01-20-50,Tenerife challenger,atp,1. round,hard,2,2.0,0.43,Jay Clarke,Great Britain,188,82,23,203,153,16,26,4,5,184,145,79,50,-9.38,0,1410,2.88,Hsin Tseng Chun,Taipei (CHN),175,65,20,248,240,29,20,8,7,123,78,66,37,-4.94,0,2140,1.43
1996321,2021-11-01-22-00,Bergamo challenger,atp,1. round,indoors,1,1.0,0.13,Liam Broady,Great Britain,183,78,27,121,121,40,23,11,4,435,306,120,74,10.14,0,-,1.13,Danilo Petrovic,Serbia,203,86,29,293,137,7,23,0,1,427,305,50,47,-16.45,1,-,6.21
1995981,2021-11-01-22-00,Paris - Masters,atp,1. round,indoors,1,1.0,0.09,Cameron Norrie,Great Britain,188,82,26,13,13,52,21,5,3,273,156,38,32,21.12,1,-,1.09,Federico Delbonis,Argentina,193,90,31,43,33,29,23,0,2,528,357,18,32,-1.28,1,-,9.50
1996756,2021-11-01-22-00,Nantes ITF,wta,Qualification - round of 16,indoors,1,2.0,-1,Alina Charaeva,Russia,-,-,19,320,320,27,18,7,3,62,34,16,8,-5.07,0,-,-,Beth Grey Sarah,Great Britain,-,-,26,437,426,35,25,14,6,173,187,72,69,9.01,0,-,-
1996658,2021-11-01-22-00,Buenos Aires WTA,wta,1. round,clay,1,1.0,0.22,Daniela Seguel,Chile,-,-,28,211,162,17,22,16,17,371,250,319,193,-5.14,1,1371,1.22,Jazmin Ortenzi,Argentina,-,-,19,629,629,19,15,10,8,69,47,48,30,2.23,0,2139,4.78
1995992,2021-11-01-20-40,Paris - Masters,atp,1. round,indoors,2,1.0,-1,Aslan Karatsev,Russia,185,-,28,16,16,37,19,4,2,399,247,94,69,14.25,0,-,1.63,Sebastian Korda,USA,193,75,21,39,38,30,18,7,3,156,101,24,14,4.67,2,-,2.43
1995980,2021-11-02-01-20,Paris - Masters,atp,1. round,indoors,1,2.0,-1,Adrian Mannarino,France,180,79,33,59,22,12,23,3,5,611,470,215,148,-3.45,0,-,2.86,Nikoloz Basilashvili,Georgia,185,79,29,21,16,35,26,3,4,442,353,63,60,19.74,1,-,1.48
1996701,2021-11-02-01-30,Midland WTA,wta,Qualification - quarterfinal,indoors,1,1.0,0.5,Catherine Harrison,USA,-,-,27,273,256,26,21,1,0,152,108,15,12,2.96,0,-,1.50,Aldila Sutjiadi,Indonesia,-,-,26,382,344,33,16,1,0,148,84,7,5,6.82,0,-,2.63
1996700,2021-11-02-00-10,Midland WTA,wta,Qualification - quarterfinal,indoors,2,0.0,0,Katherine Sebov,Canada,-,-,22,342,192,10,15,1,0,163,117,29,14,-4.33,1,-,2.00,Ellie Douglas,USA,-,-,21,505,505,14,9,1,0,64,49,1,1,0.24,0,-,1.83
1996699,2021-11-02-00-10,Midland WTA,wta,Qualification - quarterfinal,indoors,2,2.0,1.34,Marie Benoit,Belgium,-,-,26,288,228,16,26,7,4,350,242,39,31,-17.11,0,-,1.61,Dalayna Hewitt,USA,-,-,20,615,604,39,24,1,0,64,50,5,3,1.67,0,-,2.34
1996809,2021-11-02-00-15,Midland WTA,wta,1. round,indoors,2,2.0,0.49,Ashlyn Krueger,USA,-,-,17,535,535,15,13,0,0,29,26,0,0,0.09,0,-,2.81,Sachia Vickery,USA,163,58,26,224,73,14,16,0,0,317,244,24,16,-3.78,0,-,1.49
1996653,2021-11-02-00-30,Buenos Aires WTA,wta,1. round,clay,1,1.0,0.04,Panna Udvardy,Hungary,-,-,23,128,128,58,24,50,15,230,157,182,114,-1.92,0,1443,1.04,Lara Estable Julieta,Argentina,-,-,24,904,424,4,9,4,7,195,123,177,108,-7.95,0,2139,15.66
1996649,2021-11-02-00-15,Buenos Aires WTA,wta,1. round,clay,1,1.0,0.3,Anna Bondar,Hungary,-,-,24,135,131,54,26,37,15,295,143,223,99,5.91,1,1610,1.30,Irene Burillo Escorihuela,Spain,-,-,24,215,215,31,26,21,19,251,188,209,148,3.67,0,1256,3.87
1996303,2021-11-02-01-00,Tenerife challenger,atp,1. round,hard,1,1.0,0.09,Tallon Griekspoor,Netherlands,188,85,25,88,88,51,19,6,3,298,165,105,47,17.28,1,1758,1.09,Ergi Kirkin,Turkey,180,73,22,301,301,36,23,4,6,147,97,38,27,-1.46,0,1365,7.66
1996305,2021-11-02-01-00,Tenerife challenger,atp,1. round,hard,2,2.0,0.39,Timofey Skatov,Kazakhstan,173,73,20,264,264,32,25,0,1,98,75,6,7,4.77,0,1491,3.07,Altug Celikbilek,Turkey,185,72,25,160,160,38,20,21,9,297,210,221,145,10.06,0,1592,1.39
1996324,2021-11-02-00-10,Bergamo challenger,atp,1. round,indoors,1,2.0,-1,Sergiy Stakhovsky,Ukraine,193,80,35,227,31,21,19,3,4,716,579,271,185,1.42,0,-,1.87,Matteo Arnaldi,Italy,-,-,20,363,359,56,23,3,3,91,48,4,6,11.25,0,-,1.95
1996452,2021-11-02-01-00,Guayaquil challenger,atp,1. round,clay,2,2.0,0.31,Nicolas Mejia,Colombia,185,77,21,276,274,24,24,5,12,146,113,91,70,-0.27,0,1300,3.49,Elahi Galan Daniel,Colombia,191,72,25,102,102,26,29,18,14,279,224,189,135,-5.82,0,2139,1.31
1996674,2021-11-02-02-20,Paris - Masters,atp,1. round,indoors,1,1.63,-1,Hugo Gaston,France,173,68,21,103,103,41,26,7,6,144,95,31,35,7.19,0,-,2.41,Arthur Rinderknech,France,196,86,26,62,62,52,27,24,12,213,123,64,38,8.21,0,-,1.64
1996322,2021-11-02-03-00,Bergamo challenger,atp,1. round,indoors,1,1.0,0.26,Illya Marchenko,Ukraine,185,82,34,154,49,36,25,23,9,552,392,209,117,6.14,0,-,1.26,Luca Nardi,Italy,-,-,18,437,437,29,20,1,4,44,35,2,9,-5.32,0,-,3.90
1996451,2021-11-02-03-05,Guayaquil challenger,atp,1. round,clay,1,1.41,0.65,Jesper De Jong,Netherlands,180,70,21,232,223,31,29,26,18,132,73,71,36,-7.6,0,1501,1.65,Guido Andreozzi,Argentina,183,78,30,268,70,12,20,11,15,429,290,356,221,-8.16,0,1515,2.26
1996766,2021-11-02-02-00,Orlando 3 ITF,wta,Qualification - 1. round,clay,2,1.0,-1,Portillo Ramirez Maria,Mexico,-,-,22,638,638,32,15,19,10,101,81,38,34,5.77,0,-,-,Maria Kononova,Russia,-,-,24,-,-,22,15,0,0,36,29,6,6,-6.45,0,-,-
1996702,2021-11-02-02-20,Midland WTA,wta,Qualification - quarterfinal,indoors,1,0.0,0,Alexa Glatch,USA,183,66,32,312,102,12,14,4,1,327,254,51,27,-2.66,1,-,1.68,Sophie Chang,USA,-,-,24,384,274,40,20,1,0,221,193,5,9,2.68,0,-,2.22
1996812,2021-11-02-04-10,Midland WTA,wta,1. round,indoors,1,2.0,-1,Danielle Lao,USA,160,80,30,316,152,13,16,2,1,182,157,10,9,-3.92,0,-,2.94,Hailey Baptiste,USA,-,-,19,165,165,18,20,1,1,94,59,1,2,-2.88,0,-,1.45
1996811,2021-11-02-03-20,Midland WTA,wta,1. round,indoors,1,2.0,-1,Kurumi Nara,Japan,155,52,29,180,32,20,23,0,1,369,311,38,22,-11.29,1,-,1.60,Hanna Chang,USA,-,-,23,245,239,34,22,0,0,246,145,5,4,-0.23,0,-,2.48
1996810,2021-11-02-02-20,Midland WTA,wta,1. round,indoors,1,1.0,0.36,Madison Brengle,USA,174,60,31,71,35,31,24,2,1,527,392,52,41,-1.5,5,-,1.36,Asia Muhammad,USA,178,66,30,221,124,15,14,0,1,319,262,12,12,-3.42,3,-,3.38
1996657,2021-11-02-03-35,Buenos Aires WTA,wta,1. round,clay,2,2.0,0.04,Sofia Luini,Argentina,-,-,28,1224,492,4,3,4,3,179,145,177,139,-2.0,0,-,14.86,Elina Avanesyan,Russia,-,-,19,275,275,43,16,43,15,80,38,69,28,3.41,0,-,1.04
1996651,2021-11-02-02-15,Buenos Aires WTA,wta,1. round,clay,2,2.0,0.07,Sol Faga,Argentina,-,-,17,-,-,2,3,2,3,4,5,4,5,2.65,0,-,10.64,Solana Sierra,Argentina,-,-,17,1019,1019,4,3,1,2,14,12,7,7,4.16,0,-,1.07
1996822,2021-11-02-01-10,Guayaquil challenger,atp,Qualification - quarterfinal,clay,1,2.0,-1,Nicolas Alvarez,Peru,185,80,25,389,295,19,24,16,19,125,88,90,65,-8.42,0,1318,-,Nicolas Barrientos,Colombia,175,75,34,555,237,42,11,10,4,315,221,165,130,11.99,0,-,-
1996302,2021-11-02-01-40,Eckental challenger,atp,1. round,indoors,2,2.0,0.36,Jonas Forejtek,Czech Republic,180,71,20,294,294,31,30,15,7,102,67,31,17,-12.02,0,-,3.23,Jiri Vesely,Czech Republic,198,94,28,86,35,24,25,9,4,408,277,56,49,-11.08,0,-,1.36
1996317,2021-11-02-04-25,Bergamo challenger,atp,1. round,indoors,2,2.0,0.86,Mikhail Kukushkin,Kazakhstan,183,72,33,177,39,10,22,0,4,549,409,128,85,-14.76,0,-,1.96,Zdenek Kolar,Czech Republic,185,76,25,136,136,40,29,3,5,320,225,66,57,-2.05,0,-,1.86
1997235,2021-11-02-03-40,Paris - Masters,atp,1. round,indoors,2,1.0,-1,Andy Murray,Great Britain,190,83,34,144,1,18,14,10,7,802,264,148,48,-2.7,0,-,1.29,Dominik Koepfer,Germany,180,79,27,58,50,26,28,2,3,235,158,40,29,-6.47,0,-,3.96
1996813,2021-11-02-06-10,Midland WTA,wta,1. round,indoors,2,2.0,0.46,Tatiana Maria,Germany,172,62,34,236,46,6,13,0,0,614,457,144,78,-9.13,0,-,2.90,Robin Anderson,USA,-,-,28,214,159,24,19,0,0,211,145,29,20,-1.73,0,-,1.46
1996814,2021-11-02-05-25,Midland WTA,wta,1. round,indoors,1,0.0,0,Katrina Scott,USA,-,-,17,415,338,10,15,0,1,25,24,0,1,-4.77,0,-,2.27,Maddison Inglis,Australia,171,59,23,139,112,16,22,0,1,198,128,0,1,-6.34,0,-,1.70
1996291,2021-11-02-03-45,Eckental challenger,atp,1. round,indoors,1,2.0,-1,Jordan Thompson,Australia,183,82,27,68,43,21,24,0,2,360,238,25,18,-7.83,0,-,1.54,Mats Rosenkranz,Germany,-,-,23,376,376,42,27,15,8,200,188,50,45,11.73,0,-,2.52
1996445,2021-11-02-07-00,Guayaquil challenger,atp,1. round,clay,2,2.0,0.29,Alvaro Guillen Meza,Ecuador,-,-,18,1450,1446,4,7,4,7,10,16,8,14,-3.78,0,-,3.70,Darian King,Barbados,188,77,29,391,106,12,13,3,3,377,225,71,49,-1.04,0,1410,1.29
1995991,2021-11-02-06-45,Paris - Masters,atp,1. round,indoors,2,2.0,0.31,Benoit Paire,France,196,80,32,47,18,14,32,1,3,544,444,127,104,-9.3,9,-,3.84,Pablo Carreno-Busta,Spain,188,78,30,17,10,36,16,3,2,556,297,35,33,4.68,5,-,1.31
1996668,2021-11-02-04-55,Paris - Masters,atp,1. round,indoors,2,1.62,0.59,Laslo Djere,Serbia,188,82,26,51,27,23,26,3,4,322,213,22,34,-7.79,3,-,2.53,Lorenzo Musetti,Italy,185,75,19,67,57,34,28,8,7,115,76,27,19,-6.35,0,-,1.59
1996448,2021-11-02-09-25,Guayaquil challenger,atp,1. round,clay,2,1.0,-1,Sebastian Baez,Argentina,170,70,20,111,111,49,13,47,11,153,60,132,52,11.51,1,1668,1.19,Nicolas Kicker,Argentina,178,75,29,240,78,56,17,42,16,376,235,355,212,2.18,0,1621,4.78
