match_id,time_stamp,title,tour,round,surface,predict,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player1_latest_win,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds,player2_latest_win
2077849,2022-04-27-00-30,Munich,atp,1. round,clay,2,Mackenzie McDonald,USA,178,73,27,51,49,10,11,1,2,263,186,25,25,-3.47,2,-,2.51,5,Ilya Ivashka,Belarus,193,84,28,44,41,4,6,1,2,337,211,40,33,-1.2,2,1808,1.58,4
2077839,2022-04-27-00-30,Munich,atp,1. round,clay,1,Maxime Cressy,USA,201,88,24,65,59,12,11,1,3,179,115,14,21,-0.82,0,1585,4.07,1,Daniel Evans,Great Britain,175,75,31,35,22,9,9,1,3,551,340,43,37,-3.09,2,1762,1.28,3
2079205,2022-04-27-00-35,Estoril,atp,1. round,clay,1,Jiri Vesely,Czech Republic,198,94,28,74,35,14,10,3,3,426,291,223,128,16.59,0,1697,2.82,6,Hugo Dellien,Bolivia,180,75,28,85,72,27,11,26,10,466,250,436,213,0.64,1,1690,1.48,7
2077841,2022-04-27-00-45,Munich,atp,1. round,clay,2,Hugo Gaston,France,173,68,21,72,63,4,10,0,1,151,109,82,43,-2.87,0,1645,1.69,3,Marcos Giron,USA,180,77,28,53,52,6,11,0,3,360,218,25,23,-1.78,0,1687,2.29,3
2078041,2022-04-27-01-05,Estoril,atp,1. round,clay,1,Joao Sousa,Portugal,185,74,33,83,28,14,13,2,3,568,473,298,229,3.99,0,1600,3.90,4,Sebastian Baez,Argentina,170,70,21,59,59,17,13,11,6,177,76,148,59,-2.7,0,1800,1.29,4
2078043,2022-04-27-01-40,Estoril,atp,1. round,clay,1,Albert Ramos-Vinolas,Spain,188,76,34,31,17,10,8,10,6,696,524,566,342,-0.03,3,-,1.23,4,Jordan Thompson,Australia,183,82,28,87,43,7,9,1,2,369,248,84,52,-0.69,0,1652,4.60,4
2080313,2022-04-27-02-00,Munich,atp,1. round,clay,1,Alejandro Tabilo,Chile,188,75,24,91,91,23,11,18,8,298,190,186,113,1.28,1,1755,2.07,5,Cristian Garin,Chile,185,85,25,30,17,6,9,3,5,341,224,269,151,-1.7,1,1767,1.83,3
2078033,2022-04-27-02-35,Estoril,atp,1. round,clay,1,Benjamin Bonzi,France,185,76,25,58,58,14,9,1,2,362,208,117,77,0.07,0,1689,2.85,5,Dominic Thiem,Austria,185,79,28,93,3,0,2,0,2,469,235,250,87,-1,0,-,1.48,3
2079201,2022-04-27-04-05,Estoril,atp,1. round,clay,2,Pierre-Hugues Herbert,France,188,75,31,157,36,12,9,2,2,448,322,116,94,0.07,0,-,4.29,5,Sebastian Korda,USA,193,75,21,37,37,10,7,2,2,172,110,68,45,1.7,1,1868,1.26,6
2080165,2022-04-27-18-00,Munich,atp,round of 16,clay,1,Alexander Zverev,Germany,198,90,25,3,3,17,6,3,1,423,217,141,72,-3.27,0,2087,1.19,7,Holger Rune,Denmark,185,68,18,70,70,16,11,10,5,134,67,90,39,-3.2,0,1783,5.34,8
2079747,2022-04-27-18-00,Munich,atp,round of 16,clay,1,Miomir Kecmanovic,Serbia,183,75,22,38,38,22,8,10,4,230,147,104,56,11.76,0,1822,1.25,7,Daniel Altmaier,Germany,191,88,23,67,67,11,12,2,1,330,183,160,96,-2.02,0,1709,4.32,6
2079741,2022-04-27-18-00,Munich,atp,round of 16,clay,2,Alex Molcan,Slovakia,178,73,24,46,46,13,8,7,2,224,127,139,72,3.94,1,1793,5.33,7,Casper Ruud,Norway,183,77,23,7,7,16,6,7,2,288,167,175,88,0.66,0,2006,1.19,7
2077851,2022-04-27-19-00,Munich,atp,1. round,clay,1,Van De Zandschulp,Netherlands,188,83,26,40,40,11,9,2,2,292,148,150,89,-1.19,0,1770,1.63,5,Brandon Nakashima,USA,185,77,20,76,62,7,9,1,1,133,76,14,13,-4.91,0,1689,2.41,4
2080787,2022-04-27-19-00,Estoril,atp,round of 16,clay,1,Felix Auger Aliassime,Canada,193,88,21,10,9,18,9,3,3,243,145,97,50,4.28,1,1870,1.40,4,Carlos Taberner,Spain,183,78,24,92,92,17,11,17,10,376,199,329,156,-1.43,0,1634,2.68,6
2080347,2022-04-27-19-00,Estoril,atp,round of 16,clay,1,Alejandro Davidovich Fokina,Spain,183,80,22,28,27,9,10,5,2,206,138,97,58,0.74,3,1845,1.39,6,Bernabe Zapata Miralles,Spain,183,82,25,123,110,14,13,11,9,366,254,258,151,-1.27,0,1616,3.25,8
2080311,2022-04-27-19-00,Estoril,atp,round of 16,clay,1,Nuno Borges,Portugal,185,75,25,131,131,20,6,14,4,210,76,91,36,4.5,0,1673,2.17,8,Frances Tiafoe,USA,188,86,24,29,28,8,7,4,2,281,201,97,52,-1.05,0,1815,1.76,6
2078831,2022-04-27-19-00,Munich,atp,1. round,clay,1,Egor Gerasimov,Belarus,196,86,29,150,65,13,11,5,1,407,286,75,68,1.67,0,1589,1.77,5,John Millman,Australia,183,79,32,79,33,7,11,1,2,451,308,95,77,-2.73,0,1691,2.16,3
